type,title,director,cast,date_added,release_year,rating
TV Show,Hip-Hop Evolution,,"Park Hae-il, Su Ae, Yoon Je-moon, Ra Mi-ran, Lee Jin-wook, Kim Gyu-sun, Han Ju-yeong, Kim Hae-gon, Nam Moon-cheol, Jang So-yeon",2020-01-17,2020,TV-MA
Movie,Hiroshima: The Real History,Lucy van Beek,"Juliet Doherty, Thomas Doherty, Jane Seymour, Harry Jarvis, Joshua Sinclair-Evans, Ace Bhatti, Desmond Richardson, Kika Markham",2017-03-31,2015,TV-PG
Movie,His House,Remi Weekes,Sebastian Perry,2020-10-30,2020,TV-14
Movie,Hisss,Jennifer Lynch,,2017-12-01,2010,TV-MA
Movie,Aata Pita,Uttung Shelar,"Randeep Hooda, Alia Bhatt, Durgesh Kumar, Pradeep Nagar",2018-01-01,2010,TV-14
TV Show,Historia de un clan,,"Dave Pettitt, Jamie Davis, Adam Gazzola, Kevin Ritchie",2017-01-13,2015,TV-MA
TV Show,Historical Roasts,,"Saif Ali Khan, Mamta Kulkarni, Mohnish Bahl, Sharmila Tagore, Saeed Jaffrey, Kader Khan",2019-05-27,2019,TV-MA
TV Show,History 101,,"Michael Landon, Victor French",2020-05-22,2020,TV-14
Movie,History of Joy,Vishnu Govindhan,Hikaru Utada,2018-08-01,2017,TV-14
TV Show,History of Swear Words,,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker",2021-01-05,2021,TV-MA
TV Show,History's Greatest Hoaxes,,"Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos",2019-07-12,2016,TV-PG
Movie,Hit & Run,David Palmer Dax Shepard,"Ajay Devgn, Tamannaah Bhatia, Paresh Rawal, Zarina Wahab, Mahesh Manjrekar",2019-11-08,2012,R
Movie,Hitch,Andy Tennant,"Richard Harrington, Mali Harries, Hannah Daniel, Alex Harries, Aneirin Hughes, Daniel Rochford",2020-01-01,2005,PG-13
Movie,Hitler - A Career,Joachim Fest Christian Herrendoerfer,Shad Kabango,2017-02-10,1977,TV-MA
TV Show,Hitler's Circle of Evil,,John Sessions,2018-02-22,2017,TV-14
Movie,Aaviri,Ravi Babu,"Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",2019-12-31,2019,TV-14
Movie,Hitler's Olympics,Daniel Kontur,"Mallika Sherawat, Irrfan Khan, Jeff Doucette, Divya Dutta, Raman Trikha, Mahmoud Babai, Raj Bhansali, Sunny Charles, Tony Ciccone, Parvez Khan",2016-08-01,2016,TV-PG
Movie,Hitler's Steel Beast,Daniel Ablin,"Sanjay Narvekar, Bharat Jadhav, Satish Phulekar, Ashwini Apte",2017-11-01,2017,TV-14
TV Show,Hjørdis,Lars Kaalund,"Alejandro Awada, Cecilia Roth, Chino Darín, Nazareno Casero, Tristán, Gustavo Garzón, Pablo Cedrón, María Soldi, Rita Pauls, Victoria Almeida, Benjamín Alfonso",2019-02-15,2015,TV-MA
Movie,Ho Mann Jahaan,Asim Raza,"Jeff Ross, Bob Saget, James Adomian, Rachel Feinstein, Jerry Minor, Ayden Mayeri, Jaleel White, Natasha Leggero, Yamaneika Saunders, John Stamos, Nikki Glaser, Seth Green, Fortune Feimster, Jon Lovitz, Mindy Rickles, Gilbert Gottfried, Sasheer Zamata, Brandon T. Jackson, Ryan Phillippe, Ken Marino, Bridget Everett, John Gemberling, Leonardo Nam, Josh Homme",2017-07-01,2015,TV-PG
TV Show,Hoarders,,,2020-05-02,2019,TV-PG
TV Show,Hoff the Record,Gordon Anderson,"Vishnu Vinay, Vinay Forrt, Saikumar, Joju George, Nobi, Sreekumar, Nandu, Sunil Sukhada",2017-03-31,2016,TV-MA
TV Show,Hogie the Globehopper,,Nicolas Cage,2017-08-01,2016,TV-Y
Movie,Hokkabaz,Ali Taner Baltacı Cem Yılmaz,,2017-03-10,2006,TV-MA
Movie,Hold the Dark,Jeremy Saulnier,"Kristen Bell, Dax Shepard, Kristin Chenoweth, Tom Arnold, Bradley Cooper, Jess Rowland, Ryan Hansen, Beau Bridges, Michael Rosenbaum, David Koechner, Joy Bryant",2018-09-28,2018,TV-MA
Movie,Holding the Man,Neil Armfield,"Will Smith, Eva Mendes, Kevin James, Amber Valletta, Julie Ann Emery, Adam Arkin, Robinne Lee, Nathan Lee Graham, Michael Rapaport, Jeffrey Donovan",2016-08-01,2015,TV-MA
TV Show,Abby Hatcher,Kyran Kelly,,2020-07-01,2019,TV-Y
Movie,Hole in the Wall,André Odendaal Johan Vorster,"Alisdair Simpson, Henrik Jørgensen, James Lowe, Blake Scott, Peter Turnbull",2020-07-11,2016,TV-MA
Movie,Holidate,John Whitesell,"Ravi Babu, Neha Chauhan, Sri Muktha, Bharani Shankar, Mukhtar Khan, Priya",2020-10-28,2020,TV-MA
TV Show,Holiday Home Makeover with Mr. Christmas,,,2020-11-18,2020,TV-G
Movie,Holiday in the Wild,Ernie Barbarash,,2019-11-01,2019,TV-PG
Movie,Holiday Rush,Leslie Small,"Lise Baastrup, Martin Brygmann, Ellen Hillingsø, Nicky Andersen, Nicoline Sharma Rubow, Jasmin Bart-Williams, William Rützou, Marius Due, Robert Hansen",2019-11-28,2019,TV-PG
TV Show,Holiday Secrets,,"Adeel Hussain, Mahira Khan, Sheheryar Munawar, Sonya Jehan, Bushra Ansari, Nimra Bucha, Arshad Mahmud, Jamal Shah",2019-11-20,2019,TV-MA
Movie,Holidays,Anthony Scott Burns Nicholas McCarthy Adam Egypt Mortimer Gary Shore Kevin Smith Sarah Adina Smith Scott Stewart Kevin Kolsch Dennis Widmyer,,2016-07-15,2016,TV-MA
Movie,Holly Star,Michael A. Nickles,"David Hasselhoff, Asim Chaudhry, Fergus Craig, Mark Quartley, Ella Smith, Brett Goldstein",2019-11-01,2018,PG
TV Show,Hollywood,,Mae Elliessa,2020-05-01,2020,TV-MA
Movie,Holy Camp!,Javier Ambrossi Javier Calvo,"Cem Yılmaz, Mazhar Alanson, Özlem Tekin, Tuna Orhan, Tuncer Salman, Kemal İnci, Gürgen Öz, Caner Alkaya, Ayçe Abana, Bahtiyar Engin",2018-01-29,2017,TV-MA
Movie,Abby Sen,Atanu Ghosh,"Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough, Julian Black Antelope, Tantoo Cardinal, Macon Blair, Jonathan Whitesell, Peter McRobbie",2017-05-01,2015,TV-PG
Movie,Holy Expectations,Fernando Ayllón,"Ryan Corr, Craig Stott, Kerry Fox, Camilla Ah Kin, Sarah Snook, Guy Pearce, Anthony LaPaglia, Geoffrey Rush",2019-12-15,2019,TV-14
Movie,Holy Goalie,Curro Velázquez,"Macy Drouin, Wyatt White, Paul Sun-Hyung Lee, Michela Luci, Christian Dal Dosso, Laaibah Alvi, Leo Orgil",2018-04-27,2017,TV-MA
Movie,Holy Hell,Will Allen,"André Odendaal, Nicholas Campbell, Tinarie van Wyk Loots, Bheki Mkwane, Susan Coetzer, Botho Molohloane, Anna Davel, Nomboniso Paile, Dania Gelderblom, Hamish Kyd",2016-09-01,2016,NR
Movie,Holy Man 2,Note Chern-Yim,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, Jessica Capshaw, Andrew Bachelor, Cynthy Wu, Alex Moffat, Manish Dayal",2018-07-30,2008,TV-14
Movie,Holy Man 3,Note Chern-Yim,Benjamin Bradley,2018-07-30,2010,TV-MA
Movie,Hombanna,Rakshith Thirthahalli,"Rob Lowe, Kristin Davis, Fezile Mpela, John Owen Lowe, Colin Moss",2018-05-01,2017,TV-14
TV Show,Home for Christmas,,"Romany Malco, Sonequa Martin-Green, Darlene Love, Deon Cole, La La Anthony, Deysha Nelson, Amarr M. Wooten, Selena-Marie Alphonse, Andrea-Marie Alphonse",2020-12-18,2020,TV-MA
TV Show,Home Game,,"Corinna Harfouch, Christiane Paul, Svenja Jung, Leonie Benesch, Anita Vulesica, Barbara Nüsse, Hans-Uwe Bauer, Lorna zu Solms, Tilda Jenkins, Emilie Neumeister, Golo Euler, Dennis Herrmann, Maik Solbach, Merlin Rose",2020-06-26,2020,TV-MA
Movie,Home Is Where the Killer Is,Kaila York,"Madeleine Coghlan, Savannah Kennick, Ruth Bradley, Ava Acres, Sophie Traub, Jocelin Donahue, Harley Morenstein, Harley Quinn Smith, Ashley Greene, Olivia Roush, Seth Green, Clare Grant, Lorenza Izzo, Andrew Bowen",2019-10-09,2019,TV-14
TV Show,Home: Adventures with Tip & Oh,,"Katlyn Carlson, Brian Muller, Teya Patt, Pamela Chabora",2018-07-20,2018,TV-Y7
Movie,ABCD 2,Remo D'Souza,"David Corenswet, Darren Criss, Patti LuPone, Jeremy Pope, Jim Parsons, Laura Harrier, Joe Mantello, Dylan McDermott, Jake Picking, Holland Taylor, Samara Weaving",2018-11-01,2015,TV-14
Movie,HOMECOMING: A film by Beyoncé,Beyoncé Knowles-Carter,"Macarena García, Anna Castillo, Belén Cuesta, Gracia Olayo, Richard Collins-Moore, Llum Barrera, Secun de la Rosa, María Isabel Díaz, Víctor Elías, Henry Méndez, Esti Quesada",2019-04-17,2019,TV-MA
Movie,Homeland,Anindya Chatterjee,"Abir Chatterjee, Raima Sen, Arunima Ghosh, Priyanka Sarkar, Sujan Mukherjee, Kanchan Mullick, Biswanath Basu, Bhaswar Chatterjee, Swagata Basu, Tuhin Mitra, Paran Banerjee, Kharaj Mukherjee, Chiranjit",2019-10-15,2019,TV-PG
TV Show,Homemade,,"Adriana Botina, Fernando Ramos, Isabella Sierra, Joavany Álvarez, Christian López, Omar Murillo, Nelson Polanía, Carlos Barbosa, José Manuel Ospina, Aída Morales",2020-06-30,2020,TV-MA
Movie,Hometown Holiday,Justin G. Dyck,"Karra Elejalde, Alain Hernández, Juan Manuel Montilla, Joel Bosqued, Macarena García, Tito Valverde, Paco Rueda, Guillermo Furiase, Txema Blasco, Paco Sagarzazu",2020-11-15,2018,TV-G
Movie,Honey 2,Bille Woodruff,,2019-10-01,2011,PG-13
Movie,Honey: Rise Up and Dance,Bille Woodruff,"Apisit Opasaimlikit, Suthep Po-ngam, Phichet Iamchaonaa, Note Chern-Yim",2018-04-03,2018,PG-13
Movie,Honeymoon Travels Pvt. Ltd.,Reema Kagti,"Krissada Sukosol, Natee Aekwijit, Yoakyake Chernyim, Der Doksadao, Note Chern-Yim, Kohtee Aramboy, Chaleumpol Tikumpornteerawong",2019-12-15,2007,TV-14
Movie,Honeytrap,Rebecca Johnson,"Subbu Talabi, Dhanu Gowda, H.G. Dattatreya, Suchendra Prasad, Ambujakshi, Neenasam Ashwath",2020-05-20,2014,TV-MA
TV Show,Hong Kong West Side Stories,,"Ida Elise Broch, Gabrielle Susanne Solheim Leithaug, Dennis Storhøi, Anette Hoff, Felix Sandman, Ghita Nørby, Hege Schøyen, Bjørn Skagestad, Mads Sjøgård Pettersen",2019-04-30,2018,TV-MA
Movie,Hoodwinked Too! Hood vs. Evil,Mike Disa,,2018-11-03,2011,PG
Movie,#Alive,Cho Il,"Stacy Haiduk, Kelly Kruger, Christopher Sean, Anne Leighton, Beth Littleford, John-Paul Lavoisier, Kristoff St. John, Pallavi Sastry",2020-09-08,2020,TV-MA
Movie,ABCD: Any Body Can Dance,Remo D'Souza,"Rachel Crow, Mark Whitten, Ana Ortiz, Ron Funches, Matt Jones, Nolan North",2018-11-01,2013,TV-14
Movie,Hook,Steven Spielberg,"Prabhu Deva, Varun Dhawan, Shraddha Kapoor, Lauren Gottlieb, Sushant Pujari, Punit Pathak, Dharmesh Yelande, Raghav Juyal",2021-01-15,1991,PG
TV Show,Hoops,,Beyoncé Knowles-Carter,2020-08-21,2020,TV-MA
Movie,Hop,Tim Hill,"Parambrata Chatterjee, Ani Hovhannisyan, Jonathan Dumontier, Varzu, Sylvie de Neef, Prakashchandra Roy, Nicolas Pierson, Anahit Simonyan",2020-01-16,2011,PG
Movie,Hope Aur Hum,Sudip Bandyopadhyay,,2018-09-01,2018,TV-14
Movie,Hope Frozen: A Quest to Live Twice,Pailin Wedel,"Sarah Troyer, Bradley Hamilton, Kevin McGarry, Samantha Gracie",2020-09-15,2020,TV-PG
Movie,Hope Springs Eternal,Jack C. Newell,"Kat Graham, Mario Lopez, Audrina Patridge, Seychelle Gabriel, Randy Wayne, Brandon Molale, Melissa Molinaro, Jossara Jinaro, Lonette McKee, Laurieann Gibson, Christopher Shazar",2018-11-08,2018,PG
Movie,Hope: One in a Billion,Brodje Wemboendja,"Teyana Taylor, Sierra Aylina McClain, Bryshere Gray",2019-12-15,2017,TV-14
TV Show,Hormones,,"Shabana Azmi, Boman Irani, Abhay Deol, Minissha Lamba, Kay Kay Menon, Raima Sen, Sandhya Mridul, Vikram Chatwal, Ameesha Patel, Karan Khanna, Diya Mirza, Ranvir Shorey",2018-06-30,2015,TV-MA
Movie,Horns,Alexandre Aja,"Jessica Sula, Lucien Laviscount, Ntonga Mwanza, Naomi Ryan, Danielle Vitalis, Lauren Johns, Tosin Cole, Savannah Gordon-Liburd, Modupe Adeyeye",2019-08-01,2013,R
TV Show,Horrid Henry,,"Louis Cheung, Myolie Wu, Justin Cheung, Brian Chan, Raymond Chiu, Fish Liew, Lee Sheung Ching, Kaki Sham, Gregory Wong, Thor Lok",2019-01-11,2019,TV-Y7
Movie,Abdo Mota,,"Hayden Panettiere, Glenn Close, Patrick Warburton, Joan Cusack, David Ogden Stiers, Bill Hader, Amy Poehler, Andy Dick, Martin Short, Brad Garrett, Cheech Marin, Tommy Chong, Heidi Klum, Wayne Newton",2019-04-19,2012,TV-MA
Movie,Horrid Henry's Gross Day Out,Gary Andrews,"Yoo Ah-in, Park Shin-hye",2020-09-17,2020,TV-Y
TV Show,Horror Homes,,"Prabhu Deva, Kay Kay Menon, Ganesh Acharya, Dharmesh Yelande, Salman, Lauren Gottlieb, Noorin Sha, Punit Pathak",2019-10-02,2016,TV-14
Movie,Horror Story,Ayush Raina,"Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins, Maggie Smith, Caroline Goodall, Charlie Korsmo, Amber Scott, Laurel Cronin, Phil Collins",2019-04-12,2013,TV-14
Movie,Horse Girl,Jeff Baena,"Jake Johnson, Ron Funches, Cleo King, Natasha Leggero, A.D. Miles, Rob Riggle, Steve Berg, Eric Edelstein, Ben Hoffman, Mary Holland, Gil Ozeri, Sam Richardson, Nick Swardson",2020-02-07,2020,R
TV Show,Hospital Playlist,,"James Marsden, Russell Brand, Kaley Cuoco, Hank Azaria, Gary Cole, Elizabeth Perkins, Hugh Laurie, Tiffany Espensen, David Hasselhoff, Chelsea Handler",2020-03-12,2020,TV-MA
Movie,Hostage to the Devil,Marty Stalker,"Naseeruddin Shah, Kabir Sajid, Sonali Kulkarni, Amir Bashir, Naveen Kasturia, Neha Chauhan, Virti Vaghani",2017-01-15,2016,TV-14
Movie,Hostages,Federico Lemos,,2018-01-29,2017,TV-PG
Movie,Hostiles,Scott Cooper,"Mia Rose Frampton, Beth Lacke, Stony Blyden, Juliette Angelo, Lauren Giraldo, Beau Brooks, Pej Vahdat",2018-08-15,2017,R
Movie,Hot Bot,Michael Polish,Gift Ngoepe,2016-03-01,2016,NR
TV Show,Hot Date,,"Pachara Chirathivat, Ungsumalynn Sirapatsakmetha, Sutatta Udomsilp, Chutavuth Pattarakampol, Sirachuch Chienthaworn, Gunn Junhavat, Sananthachat Thanapatpisal, Thanapob Leeratanakajorn, Supassra Thanachat, Sedthawut Anusit, Kemisara Paladesh",2018-10-01,2018,TV-MA
Movie,Abducted in Plain Sight,Skye Borgman,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson, Kelli Garner, Heather Graham, David Morse, Kathleen Quinlan, James Remar",2019-01-15,2017,TV-14
Movie,Hot Gimmick: Girl Meets Boy,Yuki Yamato,"Lizzie Waterworth, Joanna Ruiz, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Stephanie Anne Mills, David Holt",2019-12-28,2019,TV-MA
Movie,Hot Girls Wanted,Jill Bauer Ronna Gradus,Mohamed Ramadan,2015-05-29,2015,TV-MA
TV Show,Hot Girls Wanted: Turned On,Jill Bauer Ronna Gradus Rashida Jones,"Lizzie Waterworth-Santo, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Philip Pope",2017-04-21,2017,TV-MA
Movie,Hot Property,Max McGill,Jill Halfpenny,2017-08-13,2016,TV-MA
Movie,Hot Rod,Akiva Schaffer,"Karan Kundra, Nishant Malkani, Hassan Zaidi, Ravish Desai, Radhika Menon, Aparna Bajpai, Nandini Vaid, Sheetal Singh, Bikramjeet Singh, Masood Akhtar",2019-11-20,2007,PG-13
Movie,Hot Sweet Sour,Andaç Haznedaroğlu,"Alison Brie, Debby Ryan, Paul Reiser, John Reynolds, Molly Shannon, John Ortiz, Meredith Hagner, Jake Picking, David Paymer, Jay Duplass",2020-06-04,2017,TV-14
TV Show,Hotel Beau Séjour,,"Cho Jung-seok, Yoo Yeon-seok, Jung Kyung-ho, Kim Dae-myeong, Jeon Mi-do, Kim Hae-suk, Kim Kap-soo, Jung Moon-sung",2017-03-16,2017,TV-14
Movie,Hotel for Dogs,Thor Freudenthal,,2020-09-02,2009,PG
Movie,Hotel Pacific,Janusz Majewski,,2019-10-01,1975,TV-MA
TV Show,Hotel Transylvania,,"Christian Bale, Rosamund Pike, Wes Studi, Jesse Plemons, Timothée Chalamet, Ben Foster, Adam Beach, Rory Cochrane, Peter Mullan, Scott Wilson, Paul Anderson, Jonathan Majors, John Benjamin Hickey, Q'orianka Kilcher, Ryan Bingham",2018-06-26,2017,TV-Y7
Movie,Abdullah The Final Witness,Hashim Nadeem Khan,"Cynthia Kirchner, Doug Haley, Zack Pearlman, Larry Miller, Danny Masterson, Anthony Anderson, David Shackelford, Donald Faison, Angela Kinsey, Kirby Bliss Blanton, John Robinson",2019-01-15,2016,TV-14
Movie,Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky,"Emily Axford, Brian Murphy",2019-01-24,2018,PG
Movie,House Arrest,Shashanka Ghosh Samit Basu,,2019-11-15,2019,TV-14
Movie,House at the End of the Street,Mark Tonderai,"Miona Hori, Hiroya Shimizu, Shotaro Mamiya, Mizuki Itagaki, Hiyori Sakurada, Kaisei Kamimura, Ai Yoshikawa, Ryohei Shima, Asuka Kurosawa, Kazuya Takahashi, Takashi Sorimachi, Riho Yoshioka",2020-05-08,2012,PG-13
TV Show,House of Cards,,,2018-11-02,2018,TV-MA
Movie,House of the Witch,Alex Merkin,,2020-10-11,2017,TV-MA
Movie,House of Z,Sandy Chronopoulos,"MyAnna Buring, Tom Rhys Harries, Ella Smith, Sam Phillips, Kate Bracken",2018-01-06,2016,TV-14
Movie,Houston We Have a Problem!,Ziga Virc,"Andy Samberg, Jorma Taccone, Bill Hader, Danny McBride, Isla Fisher, Sissy Spacek, Ian McShane, Will Arnett, Chris Parnell, Chester Tam",2017-07-20,2016,TV-14
Movie,How High 2,Bruce Leddy,"Buğra Gülsoy, Özge Özpirinçci, Yusuf Akgün, Füsun Demirel, Gözde Türkpençe, Osman Alkaş, Rahmi Dilligil, Somer Karvan",2019-12-31,2019,TV-MA
Movie,How It Ends,David M. Rosenthal,"Lynn Van Royen, Inge Paulussen, Jan Hammenecker, Kris Cuppens, Johan van Assche, Katrin Lohmann, Mieke De Groote, Roel Vanderstukken, Joren Seldeslachts, Joke Emmers, Charlotte Timmers, Guus Bullen, Tiny Bertels, Reinhilde Decleir, Barbara Sarafian",2018-07-13,2018,TV-MA
Movie,How the Beatles Changed the World,Tom O'Dell,"Emma Roberts, Jake T. Austin, Kyla Pratt, Lisa Kudrow, Kevin Dillon, Don Cheadle, Johnny Simmons, Troy Gentile, Eric Edelstein, Robinne Lee, Ajay Naidu",2018-02-01,2017,TV-PG
Movie,Abhinetri,A. L. Vijay,"Marek Kondrat, Roman Wilhelmi, Roman Skamene, Čestmír Řanda, Michał Pawlicki, Martin Hron, Stanisława Celińska, Joanna Kasperska, Jaroslava Schallerová",2018-05-01,2016,TV-14
Movie,How the Grinch Stole Christmas,Ron Howard,"Bryn McAuley, Evany Rosen, Gage Munroe, Joseph Motiki, Dan Chameroy, David Berni, John McGrath",2017-06-01,2000,PG
Movie,How to Be a Latin Lover,Ken Marino,"Sajid Hasan, Hameed Sheikh, Habibullah Panezai, Imraan Abbas, Sadia, Imran Tareen, Asal Deen, Yameen Shah",2019-11-01,2017,PG-13
Movie,How to Be a Player,Lionel C. Martin,"Adam Sandler, Selena Gomez, Kevin James, Kathryn Hahn, Andy Samberg, David Spade, Steve Buscemi, Fran Drescher, Molly Shannon, Mel Brooks, Keegan-Michael Key",2019-11-01,1997,R
Movie,How to Change the World,Jerry Rothwell,"Ali Fazal, Shriya Pilgaonkar, Jim Sarbh, Barkha Singh, Badrul Islam, Sunil Kumar",2016-01-01,2015,NR
TV Show,How to Fix a Drug Scandal,,"Gil Bellows, Max Thieriot, Jennifer Lawrence, Elisabeth Shue, Jordan Hayes, James Thomas, Eva Link, Nolan Gerard Funk, Allie MacDonald, Krista Bridges",2020-04-01,2020,TV-MA
TV Show,How to Get Away with Murder,,"Kevin Spacey, Robin Wright, Kate Mara, Corey Stoll, Sakina Jaffrey, Kristen Connolly, Constance Zimmer, Sebastian Arcelus, Nathan Darrow, Sandrine Holt, Michel Gill, Elizabeth Norment, Mahershala Ali, Reg E. Cathey, Molly Parker, Derek Cecil, Elizabeth Marvel, Kim Dickens, Lars Mikkelsen, Michael Kelly, Joel Kinnaman, Campbell Scott, Patricia Clarkson, Neve Campbell",2020-06-13,2020,TV-14
Movie,How to Get Over a Breakup,Joanna Lombardi Bruno Ascenzo,"Emily Bader, Darren Mann, Michelle Randolph, Coy Stewart, Jesse Pepe, Arden Belle, Joel Nagle, Nolan Bateman",2018-10-20,2018,TV-MA
TV Show,How to Live Mortgage Free with Sarah Beeny,,Zac Posen,2018-09-15,2018,TV-MA
Movie,How to Make an American Quilt,Jocelyn Moorhouse,Slavoj Zizek,2018-04-01,1995,PG-13
TV Show,How To Ruin Christmas,,"Lil Yachty, D.C. Young Fly, Alyssa Goss, DeRay Davis, Mary Lynn Rajskub, Blac Youngsta, Lil Baby, NeNe Leakes, Mike Epps, Al Shearer",2020-12-16,2020,TV-MA
TV Show,Abnormal Summit,Jung-ah Im Seung-uk Jo,"Theo James, Forest Whitaker, Kat Graham, Nicole Ari Parker, Mark O'Brien, Grace Dove",2017-04-08,2017,TV-PG
TV Show,How to Sell Drugs Online (Fast),,"George Harrison, John Lennon, Ringo Starr, Paul McCartney, Brian Epstein",2020-07-21,2020,TV-MA
Movie,How to Stage a Coup,Cal Seville,"Tamannaah Bhatia, Prabhu Deva, Sonu Sood, Sapthagiri, Murli Sharma, R.V. Udhaykumar, Joy Mathew, Hema",2017-06-01,2017,TV-14
Movie,How to Train Your Dragon 2,Dean DeBlois,"Jim Carrey, Taylor Momsen, Jeffrey Tambor, Christine Baranski, Bill Irwin, Molly Shannon, Clint Howard, Josh Ryan Evans, Mindy Sterling, Anthony Hopkins",2020-09-11,2014,PG
Movie,How to Win the US Presidency,Cal Saville,"Eugenio Derbez, Salma Hayek, Rob Lowe, Raphael Alejandro, Kristen Bell, Raquel Welch, Linda Lavin, Renée Taylor, Rob Riggle, Rob Corddry, Rob Huebel, Michael Cera, Michaela Watkins",2016-08-01,2016,TV-PG
Movie,Howards End,James Ivory,"Bill Bellamy, Natalie Desselle, Lark Voorhies, Mari Morrow, Pierre Edwards, Jermaine 'Huggy' Hopkins, Anthony Johnson, Max Julien, Beverly Johnson, Gilbert Gottfried, Bernie Mac",2017-03-16,1992,PG
Movie,Hridaynath,Amar Gupte,,2018-01-01,2012,TV-14
Movie,Hubie Halloween,Steve Brill,,2020-10-07,2020,PG-13
TV Show,Huge in France,,"Viola Davis, Billy Brown, Alfred Enoch, Jack Falahee, Katie Findlay, Aja Naomi King, Matt McGorry, Karla Souza, Charlie Weber, Liza Weil",2019-04-12,2019,TV-MA
Movie,Hugo,Martin Scorsese,"Gisela Ponce de León, Karina Jordán, Jely Reátegui, Andrés Salas, Christopher Von Uckermann, Carlos Carlín",2020-03-01,2011,PG
Movie,Hulk Vs.,Sam Liu Frank Paur,,2020-06-01,2009,PG-13
Movie,Abominable Christmas,Chad Van De Keere,"Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Alfre Woodard, Kaelynn Craddick, Sara Craddick, Kate Capshaw, Dermot Mulroney, Adam Baldwin, Maya Angelou, Rip Torn, Joanna Going, Claire Danes, Jean Simmons, Denis Arndt, Johnathon Schaech, Samantha Mathis, Derrick O'Connor, Jared Leto",2016-02-18,2012,TV-Y7
Movie,Hum Aapke Hain Koun,Sooraj R. Barjatya,,2020-02-01,1994,TV-14
Movie,Hum Saath-Saath Hain,Sooraj R. Barjatya,"Hyun-moo Jun, Si-kyung Sung, Se-yoon Yoo",2018-01-01,1999,TV-G
Movie,Human Nature,Adam Bolt,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne Mädel, Roland Riebeling",2020-10-01,2019,TV-PG
Movie,Humko Deewana Kar Gaye,Raj Kanwar,Cal Seville,2017-10-22,2006,TV-PG
Movie,Humpty Sharma Ki Dulhania,Shashank Khaitan,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Djimon Hounsou, Kit Harington",2020-04-01,2014,TV-14
TV Show,Humsafar,,,2016-12-15,2011,TV-PG
Movie,Hungerford,Drew Casson,"Anthony Hopkins, Vanessa Redgrave, Helena Bonham Carter, Emma Thompson, James Wilby, Samuel West, Jemma Redgrave, Joseph Bennett, Nicola Duffett, Susie Lindeman",2018-06-23,2014,TV-MA
Movie,Hunt for the Wilderpeople,Taika Waititi,"Jackie Shroff, Aditya Pancholi, Swarangi Maharte, Ameya Hunaswadkar, Urmila Matondkar",2020-10-01,2016,PG-13
Movie,Hunt to Kill,Keoni Waxman,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",2020-01-01,2010,R
Movie,Hunter in the Blue Side of Manchester,Rako Prijanto,"Gad Elmaleh, Scott Keiji Takeda, Jordan Ver Hoeve, Erinn Hayes, Matthew Del Negro",2020-07-03,2020,TV-MA
Movie,About a Boy,Chris Weitz Paul Weitz,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour, Jude Law, Johnny Depp, Edmund Kingsley, Richard Griffiths, Angus Barnett, Michael Pitt, Gulliver McGrath, Eric Moreau, Chloe Grace Moretz",2019-02-01,2002,PG-13
TV Show,Hunter X Hunter (2011),,"Fred Tatasciore, Matthew Wolf, Graham McTavish, Grey DeLisle, Kari Wahlgren, Bryce Johnson, Janyse Jaud, Jay Brazeau, Jonathan Holmes, Paul Dobson, Michael Adamthwaite, French Tickner, Nicole Oliver, Qayam Devji, Steve Blum, Mark Acheson, Colin Murdock, Nolan North, Tom Kane",2020-02-28,2013,TV-MA
Movie,Hunter's Prayer,Jonathan Mostow,"Isabella Acres, Drake Bell, Emilio Estevez, Nolan Gould, Matthew Lillard, Ray Liotta, Jane Lynch, Ariel Winter",2019-10-22,2015,R
